Question Number,File Name,Emotion Tags,Descriptor Tags
81,474980-Water-Underwater-Submerge-Toss_into_Water-Fizz-Instamic.wav,"['playful', 'funny', 'curious', 'probing', 'questioning', 'unpleasent', 'surprising']","['wet', 'watery', 'hollow', 'melodic', 'plunky', 'glottal', 'resonant', 'deep', 'splashy']"
82,488104-Fire-Outdoor-Ignite-Woosh-Flames-Flame-Burn-wood-die_out-01.wav,['dynamic'],['balanced']
83,492604-processed-transmission-loop-01.wav,"['exciting', 'intriguing', 'neurotic', 'agitating', 'stimulating', 'unnerving', 'enervating', 'irksome', 'jangling']","['bright', 'busy', 'cold', 'electronic', 'digital', 'collecting', 'insect', 'sharp', 'metallic', 'trebley', 'frenetic', 'under-watery']"
84,51690-WATER_TUBE_SLOSH_01.wav,"['comedic', 'tight']","['kerplunk', 'mechanical']"
85,51964-INDUSTRY_VEHICLES_SEMI_TRUCK_1997_MAC_427_START_ENGINE_STALL_01.wav,"['pleasent', 'energetic', 'hollow', 'elastic', 'jelly']","['raw', 'energetic', 'jar']"
86,5258-Cigarette-with-afterburn,"['pleasant', 'alerting', 'spontaneous']","['abrasive', 'grating', 'plosive', 'flick']"
87,529562-Whistling_Wind-17.wav,"['breezy', 'neutral']","['arctic', 'empty']"
88,63692-Heart_beat_slow_speed_human_hospital_loop-BLASTWAVEFX-1614.wav,"['comforting', 'calming', 'rhythmic', 'smooth', 'anxious']","['muted', 'rhythmic', 'subtle', 'instinctual', 'beating', 'stifled', 'monotonous']"
89,69277-Sound_design_sweeper_deep_distorted_horn-BLASTWAVEFX-08847.wav,"['tense', 'scary', 'alarming', 'spooky', 'chill']","['deep', 'buzzy', 'synthetic', 'descending', 'haunting', 'empty', 'resonant-chamber', 'rhythmic']"
90,69384-Sound_design_sweeper_vocal_PAd-BLASTWAVEFX-08852.wav,"['tranquil', 'calming', 'annoying', 'asmr', 'warmth', 'comfort', 'brash']","['layered', 'breathy', 'liquid', 'droning', 'calming', 'soft', 'chillvibe', 'good-feeling', 'sublime']"
91,69517-Musical_element_tymPAni_melody_low-BLASTWAVEFX-06430.wav,"['anticipatory', 'battle-ready', 'ardent', 'assertive']","['reverberant', 'boomy', 'robust']"
92,71375-Piano_PAd_delay-BLASTWAVEFX-06649.wav,"['twinkly', 'playful', 'alleviating', 'refreshing', 'eager-to-please', 'service-minded', 'joyful', 'proud']","['musical', 'stinger', 'announcing', 'instrument', 'notification', 'informative', 'warm', 'bright', 'sci-fi', 'vintage-synthetic', 'chime', 'reverb', 'happy', 'quick']"
93,71849-Sound_design_element_ambience_energy_field_modulation_flutter_droneBLASTWAVEFX-7781.wav,"['calm', 'depth', 'radar', 'tone', 'warning', 'joyful']","['muddy', 'dark', 'urgent', 'surprised']"
94,76975-Bed_short_static_crackle_bursts-BLASTWAVEFX-12875.wav,"['esoteric', 'unpleasant', 'unidentifiable', 'disturbing', 'rhythmic-rip', 'dizzy', 'gravity', 'panic']","['distorted', 'thick', 'powerful', 'electronic', 'damaged', 'blunt', 'anthro-derived', 'artificial', 'baritone', 'wooshing']"
95,77211-Wood_crash_crack_splinter_split_ceiling-BLASTWAVEFX-14327.wav,"['confusing', 'overwhelmed', 'danger', 'alerted']","['broken', 'rocky', 'debris', 'earthy', 'granular', 'dangerous']"
96,91113-Bed_synth_vox_pad_shimmer_delay-BLASTWAVEFX-26041.wav,"['playful', 'mystified', 'delighted', 'annoyed', 'saccharine', 'unwelcome']","['twinkling', 'musical', 'tonal', 'playful', 'chimney', 'drone', 'descending', 'spell-branding', 'synthetic', 'filtered', 'destructive']"
97,94448-Sound_design_shimmer_accent_bells_chopper_flange-BLASTWAVEFX-28967.wav,"['satisfying', 'nerdy', 'wonderment']","['smooth', 'retro', 'digital']"
98,94603-Sound_design_stinger_short_power_up_zap-BLASTWAVEFX-29960.wav,"['impactful', 'ominous', 'anxious', 'scary', 'horrific']","['distorted', 'muffled', 'lofi', 'noisy', 'sweep', 'hit', 'infustrial']"
99,SawStretched_03.wav,"['steadiness', 'pause', 'scary', 'uncomfortable', 'annoying', 'on-edge']","['magnetic', 'environmental', 'synthetic', 'airy', 'musical', 'bright', 'dynamic']"
100,390896-Radio-Noise-Long-Wave-01-05_LOOP.wav,"['agitated', 'mystic']","['cutting', 'edgy', 'sharp']"
